usia;kelompok
38        ;Dewasa              
20        ;Pemuda              
45        ;Dewasa              
40        ;Dewasa              
43        ;Dewasa              
7         ;Kanak-kanak         
77        ;Tua                 
15        ;Remaja              
26        ;Dewasa              
16        ;Remaja              
62        ;Tua                 
64        ;Tua                 
64        ;Tua                 
29        ;Dewasa              
28        ;Dewasa              
34        ;Dewasa              
62        ;Tua                 
17        ;Pemuda              
52        ;Dewasa              
48        ;Dewasa              
8         ;Kanak-kanak         
25        ;Dewasa              
18        ;Pemuda              
29        ;Dewasa              
75        ;Tua                 
37        ;Dewasa              
77        ;Tua                 
45        ;Dewasa              
22        ;Pemuda              
34        ;Dewasa              
40        ;Dewasa              
65        ;Tua                 
54        ;Dewasa              
46        ;Dewasa              
48        ;Dewasa              
5         ;Balita              
68        ;Tua                 
29        ;Dewasa              
64        ;Tua                 
19        ;Pemuda              
14        ;Remaja              
42        ;Dewasa              
70        ;Tua                 
38        ;Dewasa              
15        ;Remaja              
19        ;Pemuda              
75        ;Tua                 
28        ;Dewasa              
45        ;Dewasa              
10        ;Kanak-kanak         
67        ;Tua                 
31        ;Dewasa              
11        ;Kanak-kanak         
57        ;Tua                 
55        ;Tua                 
21        ;Pemuda              
61        ;Tua                 
6         ;Kanak-kanak         
15        ;Remaja              
5         ;Balita              
50        ;Dewasa              
15        ;Remaja              
49        ;Dewasa              
7         ;Kanak-kanak         
71        ;Tua                 
21        ;Pemuda              
56        ;Tua                 
48        ;Dewasa              
42        ;Dewasa              
71        ;Tua                 
78        ;Tua                 
18        ;Pemuda              
58        ;Tua                 
77        ;Tua                 
42        ;Dewasa              
68        ;Tua                 
45        ;Dewasa              
37        ;Dewasa              
1         ;Balita              
65        ;Tua                 
25        ;Dewasa              
2         ;Balita              
28        ;Dewasa              
66        ;Tua                 
16        ;Remaja              
43        ;Dewasa              
16        ;Remaja              
61        ;Tua                 
45        ;Dewasa              
16        ;Remaja              
47        ;Dewasa              
21        ;Pemuda              
68        ;Tua                 
20        ;Pemuda              
11        ;Kanak-kanak         
74        ;Tua                 
19        ;Pemuda              
20        ;Pemuda              
9         ;Kanak-kanak         
51        ;Dewasa              
